<eResourceEntry  timestamp='1390935656855' resUri='platform:/resource/obligatoriskOving/src/oving3/account/AccountTest.java.jex' key='resource selected' value='null'/>
<eObjectEntry  timestamp='1390935658585' resUri='platform:/resource/obligatoriskOving/src/oving3/account/AccountTest.java.jex' fragmentId='//@requirements.0/@requirements.0' key='junit test launch' value='testAccount'/>
<eObjectEntry  timestamp='1390935659487' resUri='platform:/resource/obligatoriskOving/src/oving3/account/AccountTest.java.jex' fragmentId='//@requirements.0/@requirements.1' key='junit test launch' value='testSetInterestRate'/>
<eObjectEntry  timestamp='1390935659545' resUri='platform:/resource/obligatoriskOving/src/oving3/account/AccountTest.java.jex' fragmentId='//@requirements.0/@requirements.0' key='test run status' value='true'/>
<eObjectEntry  timestamp='1390935660439' resUri='platform:/resource/obligatoriskOving/src/oving3/account/AccountTest.java.jex' fragmentId='//@requirements.0/@requirements.2' key='junit test launch' value='testDeposit'/>
<eObjectEntry  timestamp='1390935661494' resUri='platform:/resource/obligatoriskOving/src/oving3/account/AccountTest.java.jex' fragmentId='//@requirements.0/@requirements.3' key='junit test launch' value='testDepositNegativeAmount'/>
<eObjectEntry  timestamp='1390935662123' resUri='platform:/resource/obligatoriskOving/src/oving3/account/AccountTest.java.jex' fragmentId='//@requirements.0/@requirements.1' key='test run status' value='true'/>
<eObjectEntry  timestamp='1390935662162' resUri='platform:/resource/obligatoriskOving/src/oving3/account/AccountTest.java.jex' fragmentId='//@requirements.0/@requirements.2' key='test run status' value='true'/>
<eObjectEntry  timestamp='1390935662183' resUri='platform:/resource/obligatoriskOving/src/oving3/account/AccountTest.java.jex' fragmentId='//@requirements.0/@requirements.3' key='test run status' value='true'/>
<eObjectEntry  timestamp='1390935662297' resUri='platform:/resource/obligatoriskOving/src/oving3/account/AccountTest.java.jex' fragmentId='//@requirements.0/@requirements.4' key='junit test launch' value='testWithdraw'/>
<eObjectEntry  timestamp='1390935663145' resUri='platform:/resource/obligatoriskOving/src/oving3/account/AccountTest.java.jex' fragmentId='//@requirements.0/@requirements.5' key='junit test launch' value='testWithdrawTooLargeAmount'/>
<eObjectEntry  timestamp='1390935665026' resUri='platform:/resource/obligatoriskOving/src/oving3/account/AccountTest.java.jex' fragmentId='//@requirements.0/@requirements.5' key='test run status' value='true'/>
<eObjectEntry  timestamp='1390935665039' resUri='platform:/resource/obligatoriskOving/src/oving3/account/AccountTest.java.jex' fragmentId='//@requirements.0/@requirements.4' key='test run status' value='true'/>
