<eResourceEntry  timestamp='1390903832673' resUri='platform:/resource/obligatoriskOving/src/oving3/encapsulation/CalculatorTest.java.jex' key='resource selected' value='null'/>
<eObjectEntry  timestamp='1390903834042' resUri='platform:/resource/obligatoriskOving/src/oving3/encapsulation/CalculatorTest.java.jex' fragmentId='//@requirements.0/@requirements.3' key='junit test launch' value='testCalculateResult'/>
<eObjectEntry  timestamp='1390903834957' resUri='platform:/resource/obligatoriskOving/src/oving3/encapsulation/CalculatorTest.java.jex' fragmentId='//@requirements.0/@requirements.3' key='test run status' value='false'/>
<eObjectEntry  timestamp='1390903836974' resUri='platform:/resource/obligatoriskOving/src/oving3/encapsulation/CalculatorTest.java.jex' fragmentId='//@requirements.0/@requirements.2' key='junit test launch' value='testSetGetOperator'/>
<eObjectEntry  timestamp='1390903837893' resUri='platform:/resource/obligatoriskOving/src/oving3/encapsulation/CalculatorTest.java.jex' fragmentId='//@requirements.0/@requirements.2' key='test run status' value='false'/>
<eObjectEntry  timestamp='1390903839193' resUri='platform:/resource/obligatoriskOving/src/oving3/encapsulation/CalculatorTest.java.jex' fragmentId='//@requirements.0/@requirements.1' key='junit test launch' value='testSetGetSecondOperand'/>
<eObjectEntry  timestamp='1390903840166' resUri='platform:/resource/obligatoriskOving/src/oving3/encapsulation/CalculatorTest.java.jex' fragmentId='//@requirements.0/@requirements.1' key='test run status' value='true'/>
<eObjectEntry  timestamp='1390903842650' resUri='platform:/resource/obligatoriskOving/src/oving3/encapsulation/CalculatorTest.java.jex' fragmentId='//@requirements.0/@requirements.0' key='junit test launch' value='testSetGetFirstOperand'/>
<eObjectEntry  timestamp='1390903843582' resUri='platform:/resource/obligatoriskOving/src/oving3/encapsulation/CalculatorTest.java.jex' fragmentId='//@requirements.0/@requirements.0' key='test run status' value='true'/>
<eObjectEntry  timestamp='1390903863627' resUri='platform:/resource/obligatoriskOving/src/oving3/encapsulation/CalculatorTest.java.jex' fragmentId='//@requirements.0/@requirements.3' key='junit test launch' value='testCalculateResult'/>
<eObjectEntry  timestamp='1390903864562' resUri='platform:/resource/obligatoriskOving/src/oving3/encapsulation/CalculatorTest.java.jex' fragmentId='//@requirements.0/@requirements.3' key='test run status' value='false'/>
<eObjectEntry  timestamp='1390903865928' resUri='platform:/resource/obligatoriskOving/src/oving3/encapsulation/CalculatorTest.java.jex' fragmentId='//@requirements.0/@requirements.2' key='junit test launch' value='testSetGetOperator'/>
<eObjectEntry  timestamp='1390903866843' resUri='platform:/resource/obligatoriskOving/src/oving3/encapsulation/CalculatorTest.java.jex' fragmentId='//@requirements.0/@requirements.2' key='test run status' value='false'/>
<eObjectEntry  timestamp='1390903943708' resUri='platform:/resource/obligatoriskOving/src/oving3/encapsulation/CalculatorTest.java.jex' fragmentId='//@requirements.0/@requirements.3' key='junit test launch' value='testCalculateResult'/>
<eObjectEntry  timestamp='1390903944637' resUri='platform:/resource/obligatoriskOving/src/oving3/encapsulation/CalculatorTest.java.jex' fragmentId='//@requirements.0/@requirements.3' key='test run status' value='false'/>
