<eResourceEntry  timestamp='1390904481773' resUri='platform:/resource/obligatoriskOving/src/oving3/encapsulation/LineEditorTest.java.jex' key='resource selected' value='null'/>
<eObjectEntry  timestamp='1390904483903' resUri='platform:/resource/obligatoriskOving/src/oving3/encapsulation/LineEditorTest.java.jex' fragmentId='//@requirements.0/@requirements.0' key='junit test launch' value='testGetSetText'/>
<eObjectEntry  timestamp='1390904484831' resUri='platform:/resource/obligatoriskOving/src/oving3/encapsulation/LineEditorTest.java.jex' fragmentId='//@requirements.0/@requirements.0' key='test run status' value='true'/>
<eObjectEntry  timestamp='1390904486253' resUri='platform:/resource/obligatoriskOving/src/oving3/encapsulation/LineEditorTest.java.jex' fragmentId='//@requirements.0/@requirements.1' key='junit test launch' value='testGetSetInsertionIndex'/>
<eObjectEntry  timestamp='1390904487196' resUri='platform:/resource/obligatoriskOving/src/oving3/encapsulation/LineEditorTest.java.jex' fragmentId='//@requirements.0/@requirements.1' key='test run status' value='false'/>
<eObjectEntry  timestamp='1390904535645' resUri='platform:/resource/obligatoriskOving/src/oving3/encapsulation/LineEditorTest.java.jex' fragmentId='//@requirements.0/@requirements.1' key='junit test launch' value='testGetSetInsertionIndex'/>
<eObjectEntry  timestamp='1390904536540' resUri='platform:/resource/obligatoriskOving/src/oving3/encapsulation/LineEditorTest.java.jex' fragmentId='//@requirements.0/@requirements.1' key='test run status' value='false'/>
<eObjectEntry  timestamp='1390904537879' resUri='platform:/resource/obligatoriskOving/src/oving3/encapsulation/LineEditorTest.java.jex' fragmentId='//@requirements.0/@requirements.2' key='junit test launch' value='testSetTextShorterThanInsertionIndex'/>
<eObjectEntry  timestamp='1390904538832' resUri='platform:/resource/obligatoriskOving/src/oving3/encapsulation/LineEditorTest.java.jex' fragmentId='//@requirements.0/@requirements.2' key='test run status' value='false'/>
<eObjectEntry  timestamp='1390904540059' resUri='platform:/resource/obligatoriskOving/src/oving3/encapsulation/LineEditorTest.java.jex' fragmentId='//@requirements.0/@requirements.3' key='junit test launch' value='testLeft'/>
<eObjectEntry  timestamp='1390904540964' resUri='platform:/resource/obligatoriskOving/src/oving3/encapsulation/LineEditorTest.java.jex' fragmentId='//@requirements.0/@requirements.3' key='test run status' value='true'/>
<eObjectEntry  timestamp='1390904542545' resUri='platform:/resource/obligatoriskOving/src/oving3/encapsulation/LineEditorTest.java.jex' fragmentId='//@requirements.0/@requirements.2' key='junit test launch' value='testSetTextShorterThanInsertionIndex'/>
<eObjectEntry  timestamp='1390904543476' resUri='platform:/resource/obligatoriskOving/src/oving3/encapsulation/LineEditorTest.java.jex' fragmentId='//@requirements.0/@requirements.2' key='test run status' value='false'/>
<eObjectEntry  timestamp='1390904589429' resUri='platform:/resource/obligatoriskOving/src/oving3/encapsulation/LineEditorTest.java.jex' fragmentId='//@requirements.0/@requirements.4' key='junit test launch' value='testRight'/>
<eObjectEntry  timestamp='1390904590373' resUri='platform:/resource/obligatoriskOving/src/oving3/encapsulation/LineEditorTest.java.jex' fragmentId='//@requirements.0/@requirements.4' key='test run status' value='true'/>
<eObjectEntry  timestamp='1390904591683' resUri='platform:/resource/obligatoriskOving/src/oving3/encapsulation/LineEditorTest.java.jex' fragmentId='//@requirements.0/@requirements.5' key='junit test launch' value='testDeleteLeft'/>
<eObjectEntry  timestamp='1390904592645' resUri='platform:/resource/obligatoriskOving/src/oving3/encapsulation/LineEditorTest.java.jex' fragmentId='//@requirements.0/@requirements.5' key='test run status' value='false'/>
<eObjectEntry  timestamp='1390904594225' resUri='platform:/resource/obligatoriskOving/src/oving3/encapsulation/LineEditorTest.java.jex' fragmentId='//@requirements.0/@requirements.6' key='junit test launch' value='testDeleteRight'/>
<eObjectEntry  timestamp='1390904595190' resUri='platform:/resource/obligatoriskOving/src/oving3/encapsulation/LineEditorTest.java.jex' fragmentId='//@requirements.0/@requirements.6' key='test run status' value='true'/>
<eObjectEntry  timestamp='1390904596843' resUri='platform:/resource/obligatoriskOving/src/oving3/encapsulation/LineEditorTest.java.jex' fragmentId='//@requirements.0/@requirements.7' key='junit test launch' value='testInsertString'/>
<eObjectEntry  timestamp='1390904597817' resUri='platform:/resource/obligatoriskOving/src/oving3/encapsulation/LineEditorTest.java.jex' fragmentId='//@requirements.0/@requirements.7' key='test run status' value='false'/>
