<eResourceEntry  timestamp='1390902824857' resUri='platform:/resource/obligatoriskOving/src/oving3/encapsulation/RPNCalcTest.java.jex' key='resource selected' value='null'/>
<eObjectEntry  timestamp='1390902826389' resUri='platform:/resource/obligatoriskOving/src/oving3/encapsulation/RPNCalcTest.java.jex' fragmentId='//@requirements.0/@requirements.6' key='junit test launch' value='testPerformOperationSwap'/>
<eObjectEntry  timestamp='1390902827169' resUri='platform:/resource/obligatoriskOving/src/oving3/encapsulation/RPNCalcTest.java.jex' fragmentId='//@requirements.0/@requirements.6' key='test run status' value='true'/>
<eObjectEntry  timestamp='1390902832240' resUri='platform:/resource/obligatoriskOving/src/oving3/encapsulation/RPNCalcTest.java.jex' fragmentId='//@requirements.0/@requirements.0' key='junit test launch' value='testPushPopPeek'/>
<eObjectEntry  timestamp='1390902834041' resUri='platform:/resource/obligatoriskOving/src/oving3/encapsulation/RPNCalcTest.java.jex' fragmentId='//@requirements.0/@requirements.0' key='test run status' value='false'/>
<eObjectEntry  timestamp='1390902851227' resUri='platform:/resource/obligatoriskOving/src/oving3/encapsulation/RPNCalcTest.java.jex' fragmentId='//@requirements.0/@requirements.1' key='junit test launch' value='testGetSize'/>
<eObjectEntry  timestamp='1390902852133' resUri='platform:/resource/obligatoriskOving/src/oving3/encapsulation/RPNCalcTest.java.jex' fragmentId='//@requirements.0/@requirements.1' key='test run status' value='true'/>
<eObjectEntry  timestamp='1390902853937' resUri='platform:/resource/obligatoriskOving/src/oving3/encapsulation/RPNCalcTest.java.jex' fragmentId='//@requirements.0/@requirements.2' key='junit test launch' value='testPerformOperationAddition'/>
<eObjectEntry  timestamp='1390902854873' resUri='platform:/resource/obligatoriskOving/src/oving3/encapsulation/RPNCalcTest.java.jex' fragmentId='//@requirements.0/@requirements.2' key='test run status' value='true'/>
<eObjectEntry  timestamp='1390902856200' resUri='platform:/resource/obligatoriskOving/src/oving3/encapsulation/RPNCalcTest.java.jex' fragmentId='//@requirements.0/@requirements.3' key='junit test launch' value='testPerformOperationSubtraction'/>
<eObjectEntry  timestamp='1390902857137' resUri='platform:/resource/obligatoriskOving/src/oving3/encapsulation/RPNCalcTest.java.jex' fragmentId='//@requirements.0/@requirements.3' key='test run status' value='false'/>
<eObjectEntry  timestamp='1390902858336' resUri='platform:/resource/obligatoriskOving/src/oving3/encapsulation/RPNCalcTest.java.jex' fragmentId='//@requirements.0/@requirements.4' key='junit test launch' value='testPerformOperationMultiplication'/>
<eObjectEntry  timestamp='1390902859245' resUri='platform:/resource/obligatoriskOving/src/oving3/encapsulation/RPNCalcTest.java.jex' fragmentId='//@requirements.0/@requirements.4' key='test run status' value='true'/>
<eObjectEntry  timestamp='1390902860637' resUri='platform:/resource/obligatoriskOving/src/oving3/encapsulation/RPNCalcTest.java.jex' fragmentId='//@requirements.0/@requirements.5' key='junit test launch' value='testPerformOperationDivision'/>
<eObjectEntry  timestamp='1390902861570' resUri='platform:/resource/obligatoriskOving/src/oving3/encapsulation/RPNCalcTest.java.jex' fragmentId='//@requirements.0/@requirements.5' key='test run status' value='false'/>
<eObjectEntry  timestamp='1390902888921' resUri='platform:/resource/obligatoriskOving/src/oving3/encapsulation/RPNCalcTest.java.jex' fragmentId='//@requirements.0/@requirements.0' key='junit test launch' value='testPushPopPeek'/>
<eObjectEntry  timestamp='1390902889860' resUri='platform:/resource/obligatoriskOving/src/oving3/encapsulation/RPNCalcTest.java.jex' fragmentId='//@requirements.0/@requirements.0' key='test run status' value='false'/>
<eObjectEntry  timestamp='1390902909674' resUri='platform:/resource/obligatoriskOving/src/oving3/encapsulation/RPNCalcTest.java.jex' fragmentId='//@requirements.0/@requirements.3' key='junit test launch' value='testPerformOperationSubtraction'/>
<eObjectEntry  timestamp='1390902910610' resUri='platform:/resource/obligatoriskOving/src/oving3/encapsulation/RPNCalcTest.java.jex' fragmentId='//@requirements.0/@requirements.3' key='test run status' value='false'/>
