<eResourceEntry  timestamp='1393166722505' resUri='platform:/resource/obligatoriskOving/src/oving6/CardComparison/CardComparatorTest.java.jex' key='resource selected' value='null'/>
<eObjectEntry  timestamp='1393166725790' resUri='platform:/resource/obligatoriskOving/src/oving6/CardComparison/CardComparatorTest.java.jex' fragmentId='//@requirements.0/@requirements.0' key='junit test launch' value='testNormal'/>
<eObjectEntry  timestamp='1393166726804' resUri='platform:/resource/obligatoriskOving/src/oving6/CardComparison/CardComparatorTest.java.jex' fragmentId='//@requirements.0/@requirements.0' key='test run status' value='false'/>
<eObjectEntry  timestamp='1393167269383' resUri='platform:/resource/obligatoriskOving/src/oving6/CardComparison/CardComparatorTest.java.jex' fragmentId='//@requirements.0/@requirements.0' key='test run status' value='false'/>
<eObjectEntry  timestamp='1393167277147' resUri='platform:/resource/obligatoriskOving/src/oving6/CardComparison/CardComparatorTest.java.jex' fragmentId='//@requirements.0/@requirements.0' key='test run status' value='false'/>
<eObjectEntry  timestamp='1393167286920' resUri='platform:/resource/obligatoriskOving/src/oving6/CardComparison/CardComparatorTest.java.jex' fragmentId='//@requirements.0/@requirements.0' key='junit test launch' value='testNormal'/>
<eObjectEntry  timestamp='1393167287979' resUri='platform:/resource/obligatoriskOving/src/oving6/CardComparison/CardComparatorTest.java.jex' fragmentId='//@requirements.0/@requirements.0' key='test run status' value='false'/>
<eObjectEntry  timestamp='1393167346455' resUri='platform:/resource/obligatoriskOving/src/oving6/CardComparison/CardComparatorTest.java.jex' fragmentId='//@requirements.0/@requirements.1' key='junit test launch' value='testAceIsHighest'/>
<eObjectEntry  timestamp='1393167347459' resUri='platform:/resource/obligatoriskOving/src/oving6/CardComparison/CardComparatorTest.java.jex' fragmentId='//@requirements.0/@requirements.1' key='test run status' value='false'/>
<eObjectEntry  timestamp='1393167363829' resUri='platform:/resource/obligatoriskOving/src/oving6/CardComparison/CardComparatorTest.java.jex' fragmentId='//@requirements.0/@requirements.2' key='junit test launch' value='testDiamondIsTrumph'/>
<eObjectEntry  timestamp='1393167364895' resUri='platform:/resource/obligatoriskOving/src/oving6/CardComparison/CardComparatorTest.java.jex' fragmentId='//@requirements.0/@requirements.2' key='test run status' value='false'/>
<eObjectEntry  timestamp='1393167388414' resUri='platform:/resource/obligatoriskOving/src/oving6/CardComparison/CardComparatorTest.java.jex' fragmentId='//@requirements.0/@requirements.0' key='test run status' value='false'/>
<eObjectEntry  timestamp='1393167388418' resUri='platform:/resource/obligatoriskOving/src/oving6/CardComparison/CardComparatorTest.java.jex' fragmentId='//@requirements.0/@requirements.1' key='test run status' value='false'/>
<eObjectEntry  timestamp='1393167388420' resUri='platform:/resource/obligatoriskOving/src/oving6/CardComparison/CardComparatorTest.java.jex' fragmentId='//@requirements.0/@requirements.2' key='test run status' value='false'/>
<eObjectEntry  timestamp='1393167430728' resUri='platform:/resource/obligatoriskOving/src/oving6/CardComparison/CardComparatorTest.java.jex' fragmentId='//@requirements.0/@requirements.0' key='test run status' value='false'/>
<eObjectEntry  timestamp='1393167430731' resUri='platform:/resource/obligatoriskOving/src/oving6/CardComparison/CardComparatorTest.java.jex' fragmentId='//@requirements.0/@requirements.1' key='test run status' value='false'/>
<eObjectEntry  timestamp='1393167430734' resUri='platform:/resource/obligatoriskOving/src/oving6/CardComparison/CardComparatorTest.java.jex' fragmentId='//@requirements.0/@requirements.2' key='test run status' value='false'/>
